num_of_nodes,num_of_edges,ratio_node_edge,bi_edge,ratio_bi_edge,min_out_degree,max_out_degree,avg_out_degree,min_in_degree,max_in_degree,avg_in_degree,num_of_odd_out_degree,ratio_of_odd_out_degree,num_of_even_out_degree,ratio_of_even_out_degree,num_of_odd_in_degree,ratio_of_odd_in_degree,num_of_even_in_degree,ratio_of_even_in_degree,num_of_odd_degree,ratio_of_odd_degree,num_of_even_degree,ratio_of_even_degree,out_degree_less_than_3,ratio_out_degree_less_than_3,in_degree_less_than_3,ratio_in_degree_less_than_3,degree_less_than_3,ratio_degree_less_than_3,dfs_1st_back_depth,sum_of_choices_along_path,depth_avg_DFS_backjump,depth_back_to_root,depth_back_to_any,depth_one_path,min_depth_bfs,max_depth_bfs,avg_depth_bfs,min_depth_beam,max_depth_beam,avg_depth_beam,runtime_ham10,runtime_ham2,runtime_ham4,runtime_ham6,runtime_ham8,runtime_ham9,Oracle
168.0,604.0,0.2781,588.0,0.9735,1.0,4.0,3.5952,1.0,4.0,3.5952,50.0,0.2976,118.0,0.7024,52.0,0.3095,116.0,0.6905,26.0,0.1548,142.0,0.8452,9.0,0.0536,8.0,0.0476,0.0,0.0,4.0,16.0,79.1111,2.0,2.0,13.0,4.0,24.0,16.6667,4.0,24.0,16.6667,199.989,16.459,16.023,81.24600000000001,2.8789999999999996,11.027000000000001,2.8789999999999996
168.0,600.0,0.28,582.0,0.97,1.0,4.0,3.5714,2.0,4.0,3.5714,52.0,0.3095,116.0,0.6905,56.0,0.3333,112.0,0.6667,32.0,0.1905,136.0,0.8095,10.0,0.0595,8.0,0.0476,0.0,0.0,3.0,11.0,89.5556,2.0,2.0,14.0,7.0,24.0,15.6316,7.0,24.0,15.6316,199.99,199.99400000000003,1.0390000000000001,1.7080000000000002,5.138,18.417,1.0390000000000001
168.0,600.0,0.28,580.0,0.9667,1.0,4.0,3.5714,2.0,4.0,3.5714,52.0,0.3095,116.0,0.6905,52.0,0.3095,116.0,0.6905,34.0,0.2024,134.0,0.7976,10.0,0.0595,10.0,0.0595,0.0,0.0,3.0,12.0,83.8333,2.0,2.0,6.0,6.0,24.0,15.9412,6.0,24.0,15.9412,199.99099999999999,64.01,27.101,199.989,5.256,175.248,5.256
168.0,600.0,0.28,582.0,0.97,2.0,4.0,3.5714,2.0,4.0,3.5714,60.0,0.3571,108.0,0.6429,50.0,0.2976,118.0,0.7024,34.0,0.2024,134.0,0.7976,6.0,0.0357,11.0,0.0655,0.0,0.0,2.0,8.0,89.375,2.0,2.0,13.0,7.0,24.0,15.4211,7.0,24.0,15.5263,163.37,53.06100000000001,42.005,20.55,1.666,73.678,1.666
168.0,600.0,0.28,580.0,0.9667,2.0,4.0,3.5714,2.0,4.0,3.5714,56.0,0.3333,112.0,0.6667,56.0,0.3333,112.0,0.6667,32.0,0.1905,136.0,0.8095,8.0,0.0476,8.0,0.0476,0.0,0.0,2.0,8.0,91.7778,2.0,2.0,3.0,7.0,24.0,16.3529,7.0,24.0,16.3529,160.033,5.182,5.562,6.178,0.2,4.2,0.2
168.0,600.0,0.28,580.0,0.9667,2.0,4.0,3.5714,1.0,4.0,3.5714,56.0,0.3333,112.0,0.6667,58.0,0.3452,110.0,0.6548,34.0,0.2024,134.0,0.7976,8.0,0.0476,7.0,0.0417,0.0,0.0,3.0,12.0,86.0,2.0,2.0,8.0,6.0,24.0,15.4091,6.0,24.0,15.4091,199.99099999999999,29.663,67.376,11.417,2.432,10.427,2.432
168.0,618.0,0.2718,616.0,0.9968,2.0,4.0,3.6786,2.0,4.0,3.6786,44.0,0.2619,124.0,0.7381,46.0,0.2738,122.0,0.7262,4.0,0.0238,164.0,0.9762,5.0,0.0298,4.0,0.0238,0.0,0.0,5.0,21.0,80.4,2.0,2.0,13.0,11.0,24.0,17.4286,11.0,24.0,17.4286,199.99099999999999,199.99400000000003,6.445,79.193,4.916,44.57,4.916
168.0,618.0,0.2718,616.0,0.9968,2.0,4.0,3.6786,2.0,4.0,3.6786,44.0,0.2619,124.0,0.7381,44.0,0.2619,124.0,0.7381,4.0,0.0238,164.0,0.9762,5.0,0.0298,5.0,0.0298,0.0,0.0,1.0,5.0,80.4,2.0,2.0,13.0,11.0,24.0,17.8667,11.0,24.0,17.8667,199.99,101.118,13.286,24.26,2.653,81.009,2.653
168.0,618.0,0.2718,616.0,0.9968,2.0,4.0,3.6786,2.0,4.0,3.6786,46.0,0.2738,122.0,0.7262,44.0,0.2619,124.0,0.7381,4.0,0.0238,164.0,0.9762,4.0,0.0238,5.0,0.0298,0.0,0.0,3.0,11.0,90.5,2.0,2.0,13.0,11.0,24.0,17.9231,11.0,24.0,17.9231,199.99400000000003,188.28799999999998,6.5520000000000005,10.595,12.423,164.498,6.5520000000000005
168.0,598.0,0.2809,576.0,0.9632,2.0,4.0,3.5595,2.0,4.0,3.5595,62.0,0.369,106.0,0.631,56.0,0.3333,112.0,0.6667,30.0,0.1786,138.0,0.8214,6.0,0.0357,9.0,0.0536,0.0,0.0,1.0,5.0,90.4444,2.0,2.0,13.0,5.0,24.0,17.0667,5.0,24.0,17.0667,195.415,99.68,10.258,4.31,19.048,76.105,4.31
168.0,598.0,0.2809,576.0,0.9632,2.0,4.0,3.5595,1.0,4.0,3.5595,62.0,0.369,106.0,0.631,60.0,0.3571,108.0,0.6429,42.0,0.25,126.0,0.75,6.0,0.0357,7.0,0.0417,0.0,0.0,4.0,16.0,91.0,2.0,2.0,13.0,8.0,24.0,17.2667,8.0,24.0,17.2667,199.987,2.008,28.73,0.945,37.788000000000004,9.173,0.945
