num_of_nodes,num_of_edges,ratio_node_edge,bi_edge,ratio_bi_edge,min_out_degree,max_out_degree,avg_out_degree,min_in_degree,max_in_degree,avg_in_degree,num_of_odd_out_degree,ratio_of_odd_out_degree,num_of_even_out_degree,ratio_of_even_out_degree,num_of_odd_in_degree,ratio_of_odd_in_degree,num_of_even_in_degree,ratio_of_even_in_degree,num_of_odd_degree,ratio_of_odd_degree,num_of_even_degree,ratio_of_even_degree,out_degree_less_than_3,ratio_out_degree_less_than_3,in_degree_less_than_3,ratio_in_degree_less_than_3,degree_less_than_3,ratio_degree_less_than_3,dfs_1st_back_depth,sum_of_choices_along_path,depth_avg_DFS_backjump,depth_back_to_root,depth_back_to_any,depth_one_path,min_depth_bfs,max_depth_bfs,avg_depth_bfs,min_depth_beam,max_depth_beam,avg_depth_beam,runtime_ham10,runtime_ham2,runtime_ham4,runtime_ham6,runtime_ham8,runtime_ham9,Oracle_value,Oracle_name
168.0,604.0,0.2781,588.0,0.9735,2.0,4.0,3.5952,1.0,4.0,3.5952,52.0,0.3095,116.0,0.6905,56.0,0.3333,112.0,0.6667,30.0,0.1786,138.0,0.8214,8.0,0.0476,6.0,0.0357,0.0,0.0,7.0,28.0,78.125,2.0,2.0,16.0,8.0,24.0,16.375,8.0,24.0,16.375,185.108,72.48,5.928999999999999,124.609,66.742,78.61,5.928999999999999,ham4
168.0,604.0,0.2781,588.0,0.9735,1.0,4.0,3.5952,2.0,4.0,3.5952,54.0,0.3214,114.0,0.6786,54.0,0.3214,114.0,0.6786,30.0,0.1786,138.0,0.8214,7.0,0.0417,7.0,0.0417,0.0,0.0,3.0,12.0,87.6667,2.0,2.0,14.0,9.0,24.0,16.4118,9.0,24.0,16.5294,199.933,42.159,22.816,63.393,5.672000000000001,73.708,5.672000000000001,ham8
299.0,1442.0,0.2074,1270.0,0.8807,1.0,6.0,4.8227,1.0,6.0,4.8227,122.0,0.408,177.0,0.5920000000000001,114.0,0.3813,185.0,0.6187,148.0,0.495,151.0,0.505,5.0,0.0167,6.0,0.0201,0.0,0.0,5.0,19.0,129.0,3.0,3.0,2.0,1.0,25.0,17.6667,1.0,25.0,18.2462,92.45700000000001,58.948,199.99400000000003,0.5379999999999999,199.993,2.287,0.5379999999999999,ham6
168.0,608.0,0.2763,596.0,0.9803,1.0,4.0,3.6189999999999998,2.0,4.0,3.6189999999999998,52.0,0.3095,116.0,0.6905,44.0,0.2619,124.0,0.7381,22.0,0.131,146.0,0.8690000000000001,6.0,0.0357,10.0,0.0595,0.0,0.0,1.0,5.0,83.6364,2.0,2.0,13.0,8.0,24.0,16.75,8.0,24.0,16.75,199.99,199.99099999999999,13.640999999999998,199.988,18.415,75.188,13.640999999999998,ham4
378.0,2057.0,0.1838,2008.0,0.9762,2.0,6.0,5.4418,2.0,6.0,5.4418,43.0,0.1138,335.0,0.8862,37.0,0.0979,341.0,0.9021,70.0,0.1852,308.0,0.8148,3.0,0.0079,4.0,0.0106,0.0,0.0,5.0,21.0,229.8889,2.0,2.0,16.0,4.0,27.0,23.2889,4.0,27.0,23.2889,3.201,115.304,199.989,41.166000000000004,199.979,7.537999999999999,3.201,ham10
189.0,867.0,0.218,740.0,0.8535,1.0,6.0,4.5873,1.0,6.0,4.5873,75.0,0.3968,114.0,0.6032,79.0,0.418,110.0,0.5820000000000001,102.0,0.5397,87.0,0.4603,8.0,0.0423,7.0,0.037000000000000005,1.0,0.0053,2.0,9.0,92.7857,2.0,2.0,15.0,3.0,21.0,13.898,3.0,21.0,14.6,53.67,0.071,199.99599999999998,22.660999999999998,199.926,9.191,0.071,ham2
405.0,2129.0,0.1902,2000.0,0.9394,2.0,6.0,5.2568,2.0,6.0,5.2568,103.0,0.2543,302.0,0.7457,119.0,0.2938,286.0,0.7062,168.0,0.4148,237.0,0.5852,3.0,0.0074,3.0,0.0074,0.0,0.0,11.0,64.0,176.6667,2.0,2.0,133.0,6.0,33.0,17.8,5.0,33.0,17.0152,118.67299999999999,199.99400000000003,199.993,199.986,199.99,199.99400000000003,118.67299999999999,ham10
299.0,1417.0,0.21100000000000002,1222.0,0.8624,1.0,6.0,4.7391,2.0,6.0,4.7391,127.0,0.4247,172.0,0.5753,117.0,0.3913,182.0,0.6087,158.0,0.5284,141.0,0.4716,8.0,0.0268,7.0,0.0234,0.0,0.0,8.0,35.0,135.1818,2.0,2.0,9.0,3.0,25.0,18.9516,3.0,25.0,18.5238,108.883,199.995,199.99400000000003,1.844,199.993,199.99400000000003,1.844,ham6
180.0,652.0,0.2761,644.0,0.9877,2.0,4.0,3.6222,2.0,4.0,3.6222,56.0,0.3111,124.0,0.6889,54.0,0.3,126.0,0.7,16.0,0.0889,164.0,0.9111,6.0,0.0333,7.0,0.0389,0.0,0.0,2.0,9.0,92.6,2.0,2.0,3.0,9.0,26.0,17.5,9.0,26.0,17.5,79.805,14.149000000000001,199.99599999999998,72.07600000000001,8.08,31.055,8.08,ham8
190.0,1009.0,0.1883,992.0,0.9832,2.0,6.0,5.3105,2.0,6.0,5.3105,17.0,0.0895,173.0,0.9105,13.0,0.0684,177.0,0.9316,30.0,0.1579,160.0,0.8421,3.0,0.0158,4.0,0.0211,0.0,0.0,1.0,6.0,108.2,2.0,2.0,23.0,9.0,19.0,17.2727,9.0,19.0,17.2727,16.737000000000002,0.218,12.123,111.766,3.9619999999999997,53.836000000000006,0.218,ham2
180.0,648.0,0.2778,636.0,0.9815,1.0,4.0,3.6,2.0,4.0,3.6,54.0,0.3,126.0,0.7,56.0,0.3111,124.0,0.6889,22.0,0.1222,158.0,0.8778,9.0,0.05,8.0,0.0444,0.0,0.0,1.0,5.0,90.8,2.0,2.0,3.0,9.0,26.0,17.3182,9.0,26.0,17.6667,116.331,199.993,199.995,3.737,57.292,1.3259999999999998,1.3259999999999998,ham9
299.0,1412.0,0.2118,1234.0,0.8739,1.0,6.0,4.7224,1.0,6.0,4.7224,126.0,0.4214,173.0,0.5786,124.0,0.4147,175.0,0.5853,152.0,0.5084,147.0,0.4916,10.0,0.0334,12.0,0.0401,1.0,0.0033,2.0,6.0,149.2857,4.0,4.0,3.0,2.0,25.0,18.2836,3.0,25.0,18.2687,163.189,2.784,199.99400000000003,161.442,199.99200000000002,102.053,2.784,ham2
189.0,967.0,0.1954,928.0,0.9597,2.0,6.0,5.1164,2.0,6.0,5.1164,37.0,0.1958,152.0,0.8042,33.0,0.1746,156.0,0.8254,62.0,0.32799999999999996,127.0,0.672,3.0,0.0159,3.0,0.0159,0.0,0.0,2.0,12.0,84.75,2.0,2.0,9.0,3.0,18.0,14.931,3.0,19.0,15.0,43.952,20.288,7.685,199.993,0.45299999999999996,44.208,0.45299999999999996,ham8
300.0,1567.0,0.1914,1484.0,0.9470000000000001,2.0,6.0,5.2233,2.0,6.0,5.2233,65.0,0.2167,235.0,0.7833,63.0,0.21,237.0,0.79,108.0,0.36,192.0,0.64,5.0,0.0167,5.0,0.0167,0.0,0.0,1.0,6.0,150.5455,2.0,2.0,4.0,10.0,25.0,19.8095,3.0,25.0,19.7073,2.5540000000000003,40.619,199.99099999999999,3.6639999999999997,199.987,2.359,2.359,ham9
190.0,985.0,0.1929,944.0,0.9584,1.0,6.0,5.1842,2.0,6.0,5.1842,35.0,0.1842,155.0,0.8158,31.0,0.1632,159.0,0.8368,56.0,0.2947,134.0,0.7053,4.0,0.0211,3.0,0.0158,0.0,0.0,3.0,13.0,99.0,2.0,2.0,27.0,14.0,19.0,17.8095,14.0,19.0,17.8571,199.99400000000003,0.298,13.735999999999999,199.99099999999999,6.3839999999999995,199.99599999999998,0.298,ham2
189.0,847.0,0.2231,714.0,0.843,1.0,6.0,4.4815,1.0,6.0,4.4815,77.0,0.4074,112.0,0.5926,75.0,0.3968,114.0,0.6032,84.0,0.4444,105.0,0.5556,10.0,0.0529,9.0,0.0476,0.0,0.0,1.0,5.0,97.5714,2.0,2.0,2.0,3.0,20.0,13.9091,3.0,21.0,15.1739,121.115,199.99400000000003,199.995,142.391,199.997,31.611,31.611,ham9
180.0,640.0,0.2813,620.0,0.9688,2.0,4.0,3.5556,2.0,4.0,3.5556,64.0,0.3556,116.0,0.6444,66.0,0.3667,114.0,0.6333,34.0,0.1889,146.0,0.8111,8.0,0.0444,7.0,0.0389,0.0,0.0,2.0,8.0,86.2222,2.0,2.0,3.0,9.0,26.0,17.5,9.0,26.0,17.6333,62.086000000000006,7.053,5.437,9.437999999999999,2.8939999999999997,23.335,2.8939999999999997,ham8
276.0,1517.0,0.1819,1516.0,0.9993,2.0,6.0,5.4964,2.0,6.0,5.4964,1.0,0.0036,275.0,0.9964,1.0,0.0036,275.0,0.9964,2.0,0.0072,274.0,0.9928,3.0,0.0109,3.0,0.0109,0.0,0.0,2.0,10.0,141.8,2.0,2.0,23.0,22.0,22.0,22.0,22.0,22.0,22.0,5.75,11.894,199.995,6.421,199.984,1.361,1.361,ham9
299.0,1424.0,0.21,1230.0,0.8638,1.0,6.0,4.7625,2.0,6.0,4.7625,114.0,0.3813,185.0,0.6187,118.0,0.3946,181.0,0.6054,152.0,0.5084,147.0,0.4916,5.0,0.0167,10.0,0.0334,0.0,0.0,1.0,6.0,118.0476,2.0,2.0,9.0,3.0,25.0,17.7302,3.0,25.0,17.7969,43.711999999999996,17.273,199.99400000000003,199.99,199.99200000000002,8.017999999999999,8.017999999999999,ham9
