,num_of_nodes,num_of_edges,ratio_node_edge,bi_edge,ratio_bi_edge,min_out_degree,max_out_degree,avg_out_degree,min_in_degree,max_in_degree,avg_in_degree,num_of_odd_out_degree,ratio_of_odd_out_degree,num_of_even_out_degree,ratio_of_even_out_degree,num_of_odd_in_degree,ratio_of_odd_in_degree,num_of_even_in_degree,ratio_of_even_in_degree,num_of_odd_degree,ratio_of_odd_degree,num_of_even_degree,ratio_of_even_degree,out_degree_less_than_3,ratio_out_degree_less_than_3,in_degree_less_than_3,ratio_in_degree_less_than_3,degree_less_than_3,ratio_degree_less_than_3,dfs_1st_back_depth,sum_of_choices_along_path,depth_avg_DFS_backjump,depth_back_to_root,depth_back_to_any,depth_one_path,min_depth_bfs,max_depth_bfs,avg_depth_bfs,min_depth_beam,max_depth_beam,avg_depth_beam,runtime_ham10,runtime_ham2,runtime_ham4,runtime_ham6,runtime_ham8,runtime_ham9,Oracle_value,Oracle_name,DT_ham10_pred,RF_ham10_pred,kNN_ham10_pred,DT_ham2_pred,RF_ham2_pred,kNN_ham2_pred,DT_ham4_pred,RF_ham4_pred,kNN_ham4_pred,DT_ham6_pred,RF_ham6_pred,kNN_ham6_pred,DT_ham8_pred,RF_ham8_pred,kNN_ham8_pred,DT_ham9_pred,RF_ham9_pred,kNN_ham9_pred
20,192.0,692.0,0.2775,672.0,0.9711,2.0,4.0,3.6042,2.0,4.0,3.6042,60.0,0.3125,132.0,0.6875,58.0,0.3021,134.0,0.6979,32.0,0.1667,160.0,0.8333,8.0,0.0417,9.0,0.0469,0.0,0.0,1.0,5.0,88.4444,2.0,2.0,2.0,6.0,26.0,17.1905,6.0,26.0,17.1905,162.589,199.99599999999998,19.357,199.989,57.972,149.756,19.357,ham4,174.4042580645161,155.18641164736022,174.66799999999998,92.0560555555555,100.3593181306893,101.971625,39.62383529411765,34.45075373959688,50.90228571428572,91.99770386266088,108.24665890243728,118.65637500000001,47.608082352941175,47.99171959639125,51.13552,97.28607031249997,85.57052852655278,127.56010344827584
21,192.0,692.0,0.2775,672.0,0.9711,2.0,4.0,3.6042,2.0,4.0,3.6042,60.0,0.3125,132.0,0.6875,54.0,0.2813,138.0,0.7188,34.0,0.1771,158.0,0.8229,8.0,0.0417,11.0,0.0573,0.0,0.0,3.0,11.0,92.25,2.0,2.0,17.0,3.0,26.0,17.2105,3.0,26.0,17.2105,150.639,199.99400000000003,15.767999999999999,40.299,13.917,193.081,13.917,ham8,174.4042580645161,174.81342908085782,168.004,92.0560555555555,100.3593181306893,101.97162499999999,39.62383529411765,34.45075373959688,50.90228571428572,91.99770386266088,113.69117542090157,118.65637500000001,47.608082352941175,47.99171959639125,58.30459999999999,97.28607031249997,85.57052852655278,127.56010344827584
22,192.0,710.0,0.2704,708.0,0.9972,2.0,4.0,3.6979,2.0,4.0,3.6979,48.0,0.25,144.0,0.75,48.0,0.25,144.0,0.75,4.0,0.0208,188.0,0.9792,5.0,0.026000000000000002,5.0,0.026000000000000002,0.0,0.0,4.0,17.0,105.8571,2.0,2.0,17.0,11.0,26.0,18.5556,11.0,26.0,18.5556,191.454,199.993,4.754,32.251999999999995,20.651999999999997,58.196999999999996,4.754,ham4,174.4042580645161,171.33680544101105,160.01354545454544,92.0560555555555,115.05258078046226,175.91375,39.62383529411765,31.967268634562952,37.89139285714284,91.99770386266088,108.24665890243728,146.97424999999998,47.608082352941175,47.99171959639125,42.16152,97.28607031249997,78.35051703170743,110.36796551724137
23,176.0,627.0,0.2807,608.0,0.9697,1.0,4.0,3.5625,1.0,4.0,3.5625,59.0,0.3352,117.0,0.6648,63.0,0.358,113.0,0.642,32.0,0.1818,144.0,0.8182,9.0,0.0511,7.0,0.0398,0.0,0.0,5.0,20.0,92.2222,2.0,2.0,17.0,11.0,24.0,17.1111,11.0,24.0,17.1111,86.499,194.519,17.849,199.99099999999999,17.667,16.348,16.348,ham9,77.78176470588237,104.21453273809523,114.40172727272726,92.0560555555555,80.98046527219229,97.65950000000001,39.62383529411765,34.37350088935533,34.25892857142857,54.93195652173913,42.49646752990641,49.775375000000004,47.608082352941175,47.99171959639125,31.675319999999996,62.60126315789473,63.37900151285779,47.8164827586207
24,176.0,627.0,0.2807,606.0,0.9665,2.0,4.0,3.5625,2.0,4.0,3.5625,61.0,0.3466,115.0,0.6534,57.0,0.3239,119.0,0.6761,32.0,0.1818,144.0,0.8182,8.0,0.0455,10.0,0.0568,0.0,0.0,1.0,5.0,98.1429,2.0,2.0,17.0,3.0,24.0,15.0435,3.0,24.0,15.0435,98.285,2.967,97.426,87.78,7.167999999999999,199.99400000000003,2.967,ham2,109.8988783783784,124.09283531767566,102.21045454545452,92.0560555555555,80.98046527219229,75.037375,39.62383529411765,33.74881591725582,28.69339285714286,54.93195652173913,42.49646752990641,77.714,47.608082352941175,47.99171959639125,29.74612,62.60126315789473,63.37900151285779,52.768172413793096
25,176.0,627.0,0.2807,606.0,0.9665,2.0,4.0,3.5625,1.0,4.0,3.5625,53.0,0.3011,123.0,0.6989,57.0,0.3239,119.0,0.6761,32.0,0.1818,144.0,0.8182,12.0,0.0682,10.0,0.0568,0.0,0.0,1.0,5.0,77.375,2.0,2.0,17.0,9.0,24.0,16.7143,9.0,24.0,16.7143,102.585,8.089,1.29,13.300999999999998,17.945999999999998,6.6339999999999995,1.29,ham4,109.8988783783784,114.36915246053283,110.29918181818184,92.0560555555555,80.98046527219229,78.35375000000002,39.62383529411765,28.312103567359337,41.531214285714285,54.93195652173913,42.49646752990641,48.620875,47.608082352941175,47.99171959639125,43.582440000000005,62.60126315789473,68.27408723847239,43.127310344827585
26,176.0,627.0,0.2807,606.0,0.9665,2.0,4.0,3.5625,2.0,4.0,3.5625,59.0,0.3352,117.0,0.6648,51.0,0.2898,125.0,0.7102,34.0,0.1932,142.0,0.8068,9.0,0.0511,13.0,0.0739,0.0,0.0,3.0,12.0,94.0,2.0,2.0,14.0,9.0,24.0,16.4583,9.0,24.0,16.4583,135.101,2.513,18.302,0.114,6.855,10.324000000000002,0.114,ham6,109.8988783783784,118.6327191271995,100.79527272727273,92.0560555555555,80.98046527219229,80.51950000000001,39.62383529411765,33.74881591725582,34.27017857142857,54.93195652173913,42.49646752990641,53.24375,47.608082352941175,47.99171959639125,40.90736,62.60126315789473,63.37900151285779,47.42686206896551
27,176.0,627.0,0.2807,606.0,0.9665,2.0,4.0,3.5625,1.0,4.0,3.5625,55.0,0.3125,121.0,0.6875,61.0,0.3466,115.0,0.6534,40.0,0.2273,136.0,0.7727,11.0,0.0625,8.0,0.0455,0.0,0.0,1.0,5.0,96.4286,2.0,2.0,15.0,8.0,24.0,15.7083,8.0,24.0,15.7083,199.99,118.166,2.27,17.496,18.593,16.544,2.27,ham4,109.8988783783784,112.29020862387611,105.68118181818183,92.0560555555555,80.98046527219229,80.284,39.62383529411765,33.74881591725582,31.30521428571429,54.93195652173913,42.49646752990641,66.54662499999999,47.608082352941175,47.99171959639125,32.826800000000006,62.60126315789473,63.37900151285779,49.52948275862071
28,176.0,627.0,0.2807,608.0,0.9697,2.0,4.0,3.5625,2.0,4.0,3.5625,53.0,0.3011,123.0,0.6989,59.0,0.3352,117.0,0.6648,32.0,0.1818,144.0,0.8182,12.0,0.0682,9.0,0.0511,0.0,0.0,6.0,24.0,91.5714,2.0,2.0,17.0,6.0,24.0,15.88,6.0,24.0,16.36,103.15799999999999,43.50899999999999,36.463,4.024,2.1390000000000002,185.041,2.1390000000000002,ham8,109.8988783783784,96.28806382407824,106.01199999999999,92.0560555555555,80.98046527219229,78.53075000000001,39.62383529411765,31.988339178125386,34.79671428571428,54.93195652173913,42.49646752990641,54.805375,47.608082352941175,47.99171959639125,45.201440000000005,62.60126315789473,68.27408723847239,47.23424137931033
29,176.0,627.0,0.2807,606.0,0.9665,2.0,4.0,3.5625,1.0,4.0,3.5625,57.0,0.3239,119.0,0.6761,63.0,0.358,113.0,0.642,36.0,0.2045,140.0,0.7955,10.0,0.0568,7.0,0.0398,0.0,0.0,1.0,5.0,94.2,2.0,2.0,17.0,4.0,24.0,16.55,4.0,24.0,16.1905,101.08,199.99400000000003,3.655,49.98,38.887,73.456,3.655,ham4,77.78176470588237,78.02283535247432,107.61318181818183,92.0560555555555,80.98046527219229,75.43625,39.62383529411765,33.74881591725582,31.305214285714282,54.93195652173913,42.49646752990641,50.45774999999999,47.608082352941175,47.99171959639125,32.826800000000006,62.60126315789473,63.37900151285779,49.529482758620695
