num_of_nodes,num_of_edges,ratio_node_edge,bi_edge,ratio_bi_edge,min_out_degree,max_out_degree,avg_out_degree,min_in_degree,max_in_degree,avg_in_degree,num_of_odd_out_degree,ratio_of_odd_out_degree,num_of_even_out_degree,ratio_of_even_out_degree,num_of_odd_in_degree,ratio_of_odd_in_degree,num_of_even_in_degree,ratio_of_even_in_degree,num_of_odd_degree,ratio_of_odd_degree,num_of_even_degree,ratio_of_even_degree,out_degree_less_than_3,ratio_out_degree_less_than_3,in_degree_less_than_3,ratio_in_degree_less_than_3,degree_less_than_3,ratio_degree_less_than_3,dfs_1st_back_depth,sum_of_choices_along_path,depth_avg_DFS_backjump,depth_back_to_root,depth_back_to_any,depth_one_path,min_depth_bfs,max_depth_bfs,avg_depth_bfs,min_depth_beam,max_depth_beam,avg_depth_beam,runtime_ham10,runtime_ham2,runtime_ham4,runtime_ham6,runtime_ham8,runtime_ham9,Oracle
192.0,710.0,0.2704,708.0,0.9972,2.0,4.0,3.6979,2.0,4.0,3.6979,48.0,0.25,144.0,0.75,48.0,0.25,144.0,0.75,4.0,0.0208,188.0,0.9792,5.0,0.026000000000000002,5.0,0.026000000000000002,0.0,0.0,4.0,17.0,105.8571,2.0,2.0,17.0,11.0,26.0,18.5556,11.0,26.0,18.5556,191.454,199.993,4.754,32.251999999999995,20.651999999999997,58.196999999999996,4.754
176.0,627.0,0.2807,608.0,0.9697,1.0,4.0,3.5625,1.0,4.0,3.5625,59.0,0.3352,117.0,0.6648,63.0,0.358,113.0,0.642,32.0,0.1818,144.0,0.8182,9.0,0.0511,7.0,0.0398,0.0,0.0,5.0,20.0,92.2222,2.0,2.0,17.0,11.0,24.0,17.1111,11.0,24.0,17.1111,86.499,194.519,17.849,199.99099999999999,17.667,16.348,16.348
176.0,627.0,0.2807,606.0,0.9665,2.0,4.0,3.5625,2.0,4.0,3.5625,61.0,0.3466,115.0,0.6534,57.0,0.3239,119.0,0.6761,32.0,0.1818,144.0,0.8182,8.0,0.0455,10.0,0.0568,0.0,0.0,1.0,5.0,98.1429,2.0,2.0,17.0,3.0,24.0,15.0435,3.0,24.0,15.0435,98.285,2.967,97.426,87.78,7.167999999999999,199.99400000000003,2.967
176.0,627.0,0.2807,606.0,0.9665,2.0,4.0,3.5625,1.0,4.0,3.5625,53.0,0.3011,123.0,0.6989,57.0,0.3239,119.0,0.6761,32.0,0.1818,144.0,0.8182,12.0,0.0682,10.0,0.0568,0.0,0.0,1.0,5.0,77.375,2.0,2.0,17.0,9.0,24.0,16.7143,9.0,24.0,16.7143,102.585,8.089,1.29,13.300999999999998,17.945999999999998,6.6339999999999995,1.29
176.0,627.0,0.2807,606.0,0.9665,2.0,4.0,3.5625,2.0,4.0,3.5625,59.0,0.3352,117.0,0.6648,51.0,0.2898,125.0,0.7102,34.0,0.1932,142.0,0.8068,9.0,0.0511,13.0,0.0739,0.0,0.0,3.0,12.0,94.0,2.0,2.0,14.0,9.0,24.0,16.4583,9.0,24.0,16.4583,135.101,2.513,18.302,0.114,6.855,10.324000000000002,0.114
176.0,627.0,0.2807,606.0,0.9665,2.0,4.0,3.5625,1.0,4.0,3.5625,55.0,0.3125,121.0,0.6875,61.0,0.3466,115.0,0.6534,40.0,0.2273,136.0,0.7727,11.0,0.0625,8.0,0.0455,0.0,0.0,1.0,5.0,96.4286,2.0,2.0,15.0,8.0,24.0,15.7083,8.0,24.0,15.7083,199.99,118.166,2.27,17.496,18.593,16.544,2.27
176.0,627.0,0.2807,608.0,0.9697,2.0,4.0,3.5625,2.0,4.0,3.5625,53.0,0.3011,123.0,0.6989,59.0,0.3352,117.0,0.6648,32.0,0.1818,144.0,0.8182,12.0,0.0682,9.0,0.0511,0.0,0.0,6.0,24.0,91.5714,2.0,2.0,17.0,6.0,24.0,15.88,6.0,24.0,16.36,103.15799999999999,43.50899999999999,36.463,4.024,2.1390000000000002,185.041,2.1390000000000002
176.0,627.0,0.2807,606.0,0.9665,2.0,4.0,3.5625,1.0,4.0,3.5625,57.0,0.3239,119.0,0.6761,63.0,0.358,113.0,0.642,36.0,0.2045,140.0,0.7955,10.0,0.0568,7.0,0.0398,0.0,0.0,1.0,5.0,94.2,2.0,2.0,17.0,4.0,24.0,16.55,4.0,24.0,16.1905,101.08,199.99400000000003,3.655,49.98,38.887,73.456,3.655
192.0,710.0,0.2704,708.0,0.9972,2.0,4.0,3.6979,2.0,4.0,3.6979,50.0,0.2604,142.0,0.7396,48.0,0.25,144.0,0.75,4.0,0.0208,188.0,0.9792,4.0,0.0208,5.0,0.026000000000000002,0.0,0.0,1.0,5.0,95.6,2.0,2.0,17.0,11.0,26.0,17.9444,11.0,26.0,17.9444,79.723,199.99599999999998,33.077,114.446,6.934,188.63400000000001,6.934
192.0,690.0,0.2783,668.0,0.9681,2.0,4.0,3.5938,2.0,4.0,3.5938,58.0,0.3021,134.0,0.6979,56.0,0.2917,136.0,0.7083,42.0,0.2188,150.0,0.7813,10.0,0.0521,11.0,0.0573,0.0,0.0,3.0,12.0,74.125,2.0,2.0,12.0,10.0,26.0,17.1905,10.0,26.0,17.1905,199.993,115.633,3.1489999999999996,199.981,14.067,21.9,3.1489999999999996
