,runtime_ham10,runtime_ham2,runtime_ham4,runtime_ham6,runtime_ham8,runtime_ham9,DT_ham10_pred,DT_ham2_pred,DT_ham4_pred,DT_ham6_pred,DT_ham8_pred,DT_ham9_pred,1st_ham,1st_time,2nd_ham,2nd_time,3rd_ham,3rd_time
156,3.195,3.7,199.995,1.4280000000000002,199.981,2.845,32.383109756097575,30.860578947368417,199.88236363636358,10.448162790697674,196.86445108695628,31.526579545454545,runtime_ham6,1.4280000000000002,runtime_ham2,3.7,runtime_ham9,2.845
157,0.429,1.575,199.995,1.5130000000000001,199.99,15.164000000000001,32.383109756097575,30.860578947368417,199.88236363636358,10.448162790697674,196.86445108695628,31.526579545454545,runtime_ham6,1.5130000000000001,runtime_ham2,1.575,runtime_ham9,15.164000000000001
158,3.6310000000000002,9.311,199.995,24.194000000000003,199.988,33.393,32.383109756097575,30.860578947368417,199.88236363636358,54.93195652173913,196.86445108695628,31.526579545454545,runtime_ham2,9.311,runtime_ham9,33.393,runtime_ham10,3.6310000000000002
159,10.482999999999999,5.43,199.99200000000002,199.989,199.995,0.993,32.383109756097575,30.860578947368417,199.88236363636358,54.93195652173913,196.86445108695628,31.526579545454545,runtime_ham2,5.43,runtime_ham9,0.993,runtime_ham10,10.482999999999999
160,199.99,30.171,199.99099999999999,199.99099999999999,199.99400000000003,7.664,32.383109756097575,30.860578947368417,199.88236363636358,54.93195652173913,196.86445108695628,31.526579545454545,runtime_ham2,30.171,runtime_ham9,7.664,runtime_ham10,199.99
161,8.11,10.295,199.984,0.461,199.99400000000003,18.348,32.383109756097575,30.860578947368417,199.88236363636358,54.93195652173913,196.86445108695628,31.526579545454545,runtime_ham2,10.295,runtime_ham9,18.348,runtime_ham10,8.11
162,17.055,0.504,199.993,22.500999999999998,199.985,199.995,97.29642857142862,30.860578947368417,199.88236363636358,54.93195652173913,196.86445108695628,97.28607031249997,runtime_ham2,0.504,runtime_ham6,22.500999999999998,runtime_ham9,199.995
163,18.135,15.29,199.995,8.301,199.987,3.0780000000000003,32.383109756097575,30.860578947368417,199.88236363636358,10.448162790697674,196.86445108695628,31.526579545454545,runtime_ham6,8.301,runtime_ham2,15.29,runtime_ham9,3.0780000000000003
164,3.486,4.687,199.937,0.9890000000000001,199.959,4.105,32.383109756097575,30.860578947368417,199.88236363636358,10.448162790697674,196.86445108695628,31.526579545454545,runtime_ham6,0.9890000000000001,runtime_ham2,4.687,runtime_ham9,4.105
165,199.989,180.141,199.97099999999998,199.99200000000002,199.975,35.021,174.40425806451614,167.046,199.88236363636358,91.99770386266097,196.86445108695628,108.07844444444444,runtime_ham6,199.99200000000002,runtime_ham9,35.021,runtime_ham2,180.141
166,199.989,199.99,199.988,199.99099999999999,199.985,199.99400000000003,174.40425806451614,199.99150000000006,199.88236363636358,91.99770386266097,196.86445108695628,199.99418750000004,runtime_ham6,199.99099999999999,runtime_ham10,199.989,runtime_ham8,199.985
167,199.989,199.99,199.97400000000002,199.993,199.983,199.99400000000003,174.40425806451614,199.99150000000006,199.88236363636358,91.99770386266097,196.86445108695628,199.99418750000004,runtime_ham6,199.993,runtime_ham10,199.989,runtime_ham8,199.983
168,199.989,199.99400000000003,199.97400000000002,199.99,199.987,199.99400000000003,174.40425806451614,199.99150000000006,199.88236363636358,91.99770386266097,196.86445108695628,199.99418750000004,runtime_ham6,199.99,runtime_ham10,199.989,runtime_ham8,199.987
169,199.989,199.99200000000002,199.955,25.967,199.99400000000003,199.995,174.40425806451614,199.99150000000006,199.88236363636358,91.99770386266097,196.86445108695628,199.99418750000004,runtime_ham6,25.967,runtime_ham10,199.989,runtime_ham8,199.99400000000003
